model,protected_attr,DPD,EOD,FPRD,ECE
logistic_regression,sex,0.1908533503755619,0.13359100360280485,0.0815878963824117,0.010161138132009308
logistic_regression,race,0.28706240487062407,0.6666666666666667,0.1579340200029855,0.010161138132009308
logistic_regression,age,0.23074075994964474,0.09520952095209512,0.09094039886573047,0.010161138132009308
logistic_regression,marital.status,0.42802669208770255,0.6690871369294605,0.22310405643738976,0.010161138132009308
logistic_regression,education,0.7692307692307693,0.889763779527559,0.5833333333333334,0.010161138132009308
logistic_regression,relationship,0.44572649572649575,0.6732788798133023,0.27586206896551724,0.010161138132009308
random_forest,sex,0.20140558275597437,0.06775396027548652,0.09954577728212294,0.018664088397790057
random_forest,race,0.23227513227513227,0.6666666666666667,0.13793103448275862,0.018664088397790057
random_forest,age,0.29922172506086164,0.36653665366536653,0.12916611434705424,0.018664088397790057
random_forest,marital.status,0.4437559580552908,0.6825726141078838,0.24074074074074073,0.018664088397790057
random_forest,education,0.8717948717948718,0.9516129032258065,0.5625,0.018664088397790057
random_forest,relationship,0.4505672609400324,0.6837806301050176,0.24949698189134809,0.018664088397790057
gradient_boosting,sex,0.17474011047143334,0.09766285989022994,0.060705668221775574,0.019110397015355902
gradient_boosting,race,0.22039573820395736,0.6666666666666667,0.10306015823257203,0.019110397015355902
gradient_boosting,age,0.26397303698534763,0.2933059880573693,0.10031683652119218,0.019110397015355902
gradient_boosting,marital.status,0.38798856053384173,0.6618257261410788,0.15520282186948853,0.019110397015355902
gradient_boosting,education,0.765625,0.8818897637795275,0.5833333333333334,0.019110397015355902
gradient_boosting,relationship,0.3829369202140677,0.6651108518086347,0.15517241379310345,0.019110397015355902
